id,time,lat,lon,depth,mag,place
20,2015-12-12T08:34:45.600Z,37.83,21.16,29,4.5,4km ESE of Ayios Nikolaos - Greece
21,2015-12-09T09:03:33.840Z,38.8387,37.875,5,4.4,5km WNW of Hekimhan - Turkey
22,2015-12-07T02:04:01.380Z,38.256,21.8277,10,4.4,1km SSW of Ano Kastritsion - Greece
23,2015-12-06T16:24:38.870Z,42.3525,15.2079,5.57,4.4,44km NNE of Termoli - Italy
24,2015-12-06T10:44:15.160Z,39.6413,21.1958,2.51,4.5,14km S of Metsovo - Greece
25,2015-12-06T05:28:11.910Z,42.65,15.19,26,4.4,70km NE of Vasto - Italy
26,2015-12-06T03:22:49.160Z,42.5403,15.1042,5.5,4.5,56km NE of Vasto - Italy
27,2015-12-06T03:21:43.410Z,42.3918,15.1511,17.86,4.1,46km NNE of Termoli - Italy
28,2015-12-02T01:44:24.510Z,38.6985,20.5686,27.74,4.4,12km W of Nidri - Greece
29,2015-12-01T12:18:43.560Z,35.1948,25.0145,10,4,1km ESE of Kato Asitai - Greece
30,2015-12-01T04:21:20.870Z,34.1961,22.4841,33.67,4.1,159km N of Darnah - Libya
31,2015-11-29T08:36:09.910Z,38.7037,20.5348,10,4.1,15km W of Nidri - Greece
32,2015-11-29T00:28:11.870Z,38.8236,37.7358,10,4.9,8km SE of Kulucak - Turkey
33,2015-11-29T00:20:44.740Z,38.7456,20.5486,4.69,4.3,14km WNW of Nidri - Greece
34,2015-11-26T15:35:54.660Z,39.306,15.2312,266.65,4.3,64km WSW of Belvedere Marittimo - Italy
35,2015-11-25T03:14:47.900Z,38.53,20.55,14,4.4,23km NW of Ithaki - Greece
36,2015-11-24T09:39:05.200Z,38.731,20.5997,12,4.8,9km WNW of Nidri - Greece
37,2015-11-23T13:39:28.810Z,37.4081,31.3527,10,4.3,13km W of Derebucak - Turkey
38,2015-11-23T09:30:03.000Z,38.4776,20.5422,10,4.3,19km NW of Ithaki - Greece
39,2015-11-21T19:11:07.910Z,36.5808,21.6305,42.46,4.2,27km SSW of Methoni - Greece
40,2015-11-21T16:17:50.100Z,38.7213,20.5902,10.9,4.1,10km W of Nidri - Greece
41,2015-11-21T07:16:43.600Z,38.74,20.66,7,4.2,5km NW of Nidri - Greece
42,2015-11-21T01:58:25.300Z,38.617,20.536,14.4,4.3,18km WSW of Nidri - Greece
43,2015-11-21T00:41:57.530Z,38.7285,20.4759,10,4.7,20km W of Nidri - Greece
44,2015-11-20T23:37:05.530Z,38.7558,20.4745,10,4.7,21km WSW of Lefkada - Greece
45,2015-11-20T09:33:14.800Z,38.63,20.58,11,4.7,14km SW of Nidri - Greece
46,2015-11-20T05:12:24.800Z,38.47,20.49,12,4.8,23km WNW of Ithaki - Greece
47,2015-11-20T03:05:28.600Z,38.5,20.51,11,4,23km NW of Ithaki - Greece
48,2015-11-20T03:01:53.900Z,38.792,20.578,10.2,4.5,11km WSW of Lefkada - Greece
49,2015-11-19T02:47:08.400Z,38.72,20.63,10,4.5,7km WNW of Nidri - Greece
